Element,Number_Stations_Used,Element_Type
PRCP,122229,core
SNOW,75563,core
MDPR,67146,other
SNWD,64130,core
DAPR,59876,other
TMAX,40369,core
TMIN,40267,core
WESD,24400,other
WESF,23604,other
WT01,17056,other
