StateCode,StateName,Total_Stations
TX,TEXAS,5957
CO,COLORADO,4570
CA,CALIFORNIA,3024
NC,NORTH CAROLINA,2553
NE,NEBRASKA,2313
NM,NEW MEXICO,2203
KS,KANSAS,2123
FL,FLORIDA,2099
IL,ILLINOIS,2078
MN,MINNESOTA,2012
