Country_Code,Country_Name,Total_Stations
US,United States,70627
AS,Australia,17088
CA,Canada,9146
BR,Brazil,5989
MX,Mexico,5249
IN,India,3807
SW,Sweden,1721
SF, South Africa,1166
GM,Germany,1123
RS,Russia,1123
